Hour,kW_multiplier
0,0.5997332361194506
1,0.4918847757174144
2,0.4168465284346679
3,0.4037112560421011
4,0.6252422792589253
5,0.7515858544435949
6,0.8240284346468523
7,0.8251652387817325
8,0.7760791579259934
9,0.712739388948645
10,0.6795270473953786
11,0.6816967040936319
12,0.6489529170202295
13,0.6204929672045292
14,0.7303384136116851
15,0.863216877490395
16,0.9493307397184106
17,0.9961553987575329
18,0.9797715714056845
19,0.8442156700681156
20,0.7524090247823438
21,0.6544719116517368
22,0.5971722161833691
23,0.5505309523856355
