Hour,kW_multiplier
0,0.6231997472645839
1,0.5604934419044626
2,0.4827907871784612
3,0.4476064540212011
4,0.4084486011634539
5,0.4288871699565328
6,0.4762644094805473
7,0.5064949116396168
8,0.546171167948907
9,0.5943796788204323
10,0.6522249709814396
11,0.678926172350727
12,0.7761328226201605
13,0.8868658412675265
14,0.970462817087542
15,0.9999728318664808
16,0.9749206726102492
17,0.9265058763177372
18,0.8453216796950147
19,0.7524108881702332
20,0.6878875628089507
21,0.6052753107051404
22,0.5083603226099159
23,0.4817005314326572
