Hour,kW_multiplier
0,0.7885417784253903
1,0.7242074445535287
2,0.6479726320907407
3,0.522444106670518
4,0.4431295506411757
5,0.4014859167549458
6,0.41337505331309626
7,0.46403485979482034
8,0.5886052844747136
9,0.7046392208375509
10,0.8067707190377887
11,0.8627423871385749
12,0.8371043507293084
13,0.8873903663251549
14,0.9628384106421383
15,0.999845090548269
16,0.9580822397807269
17,0.9143877951926644
18,0.9147172027540355
19,0.8647075746867006
20,0.7938631292176528
21,0.7096345225777452
22,0.646147166868805
23,0.6243969440870676
