Hour,kW_multiplier
0,0.4
1,0.509312424327266
2,0.707793386712644
3,0.8697643999398179
4,0.9492703920266622
5,0.9704883478283792
6,0.915705092079717
7,0.8620256816082101
8,0.7969077052121116
9,0.7330188411849834
10,0.6536126353189866
11,0.6153333716367222
12,0.5871749949627999
13,0.6812720400338437
14,0.845047998814897
15,0.9257863515514856
16,0.9838617284858088
17,0.999012442394336
18,0.8894405633800513
19,0.7541825422338161
20,0.6117993101341046
21,0.5227822030291673
22,0.4608740811407834
23,0.4409291902479361
