Hour,kW_multiplier
0,0.4307501751739232
1,0.4054872079314956
2,0.4024965702142763
3,0.4423909476936488
4,0.6002984276005016
5,0.8464995476958826
6,0.940482480046142
7,0.9997632997399652
8,0.9672988056736772
9,0.8719003002545971
10,0.7883302777830901
11,0.7658274774904552
12,0.7329074054117493
13,0.6707662085438808
14,0.6556192788095931
15,0.6595132893831415
16,0.6548550913076918
17,0.6535583006133665
18,0.618607665826845
19,0.5895429703444578
20,0.5268826080337108
21,0.4619597109327196
22,0.4401921573870788
23,0.4224817774204518
