Hour,kW_multiplier
0,0.8728462119490081
1,0.838698734010858
2,0.8219666934457144
3,0.7899617760842572
4,0.7086068485365766
5,0.582086986963675
6,0.4942488197943236
7,0.4309631156899046
8,0.4046227861036588
9,0.4014263936173019
10,0.41072646860085016
11,0.45148158991257886
12,0.5126320882585247
13,0.573694933866238
14,0.6061746959696731
15,0.6338665093280618
16,0.6973215983215089
17,0.8088406056118327
18,0.9140966526207331
19,0.9757678160373642
20,0.9968010986999408
21,0.9728705103949895
22,0.9537678814188751
23,0.8972217035211312
