Hour,kW_multiplier
0,0.8728462119490081
1,0.838698734010858
2,0.8219666934457144
3,0.7899617760842572
4,0.7086068485365766
5,0.582086986963675
6,0.4942488197943236
7,0.4309631156899046
8,0.4046227861036588
9,0.4014263936173019
10,0.4107264686008501
11,0.4514815899125788
12,0.5126320882585247
13,0.573694933866238
14,0.6061746959696731
15,0.6338665093280618
16,0.6973215983215089
17,0.8088406056118327
18,0.9140966526207333
19,0.9757678160373642
20,0.9968010986999408
21,0.9728705103949896
22,0.9537678814188753
23,0.8972217035211312
